employee_status,movement,employee_id,employee_name,date_of_joining,date_of_relieving,reporting_manager,employee_type,gender,marital_status,grade,department,total_experience,hire_year,stability,visa_type,tenure_years,estimated_age,age_group,tenure_band,is_attrition
On-Board,,151539.0,Li Wei,2023-12-19,,Ryan Simmons,Permanent,Female,Single,Professional,Marketing,0.0,2023,2+ Years,Company Sponsored,2.38,23.0,<25,2yr,0
On-Board,,148895.0,Jun Park,2023-12-28,,Darryl Leon,Permanent,Female,Single,Professional,Hr,0.0,2023,2+ Years,Company Sponsored,2.36,23.0,<25,2yr,0
On-Board,Onroll,114477.0,Yuna Kim,2024-01-04,,Ryan Simmons,Permanent,Male,Single,Professional,Marketing,1.6,2024,2+ Years,Company Sponsored,2.34,24.6,<25,2yr,0
On-Board,,170085.0,Haruto Tanaka,2024-01-11,,Ryan Simmons,Permanent,Male,Single,Professional,Marketing,3.5,2024,2+ Years,Company Sponsored,2.32,26.5,25-29,2yr,0
On-Board,,148355.0,Yuki Sato,2024-01-11,,Roberta Moyer,Permanent,Male,Single,Professional,Hr,14.0,2024,2+ Years,Company Sponsored,2.32,37.0,35-39,2yr,0
On-Board,,132724.0,Carlos Santos,2024-01-23,,Geneva Hardy,Permanent,Male,Single,Professional,Marketing,0.6,2024,2+ Years,Company Sponsored,2.29,23.6,<25,2yr,0
On-Board,,136024.0,Ana Silva,2024-01-23,,Janelle Wiley,Permanent,Male,Single,Management,Hr,14.0,2024,2+ Years,Company Sponsored,2.29,37.0,35-39,2yr,0
On-Board,Onroll,186654.0,Mateo Rossi,2024-02-01,,Ryan Simmons,Permanent,Female,Single,Professional,Hr,3.3,2024,2+ Years,Company Sponsored,2.26,26.3,25-29,2yr,0
On-Board,,140505.0,Nina Novak,2024-02-01,,Roberta Moyer,Permanent,Female,Single,Professional,Hr,13.0,2024,2+ Years,Company Sponsored,2.26,36.0,35-39,2yr,0
On-Board,,166500.0,Igor Volkov,2024-02-06,,Ryan Simmons,Permanent,Female,Single,Professional,Legal,1.5,2024,2+ Years,Company Sponsored,2.25,24.5,<25,2yr,0
On-Board,Onroll,196256.0,Elena Ivanova,2024-03-15,,Ryan Simmons,Permanent,Female,Married,Professional,Hr,3.0,2024,2+ Years,Company Sponsored,2.15,26.0,25-29,2yr,0
On-Board,,107622.0,Omar Sy,2024-03-15,,Janelle Wiley,Permanent,Female,Single,Trainees,Hr,13.0,2024,2+ Years,Company Sponsored,2.15,36.0,35-39,2yr,0
On-Board,,140845.0,Fatou Diop,2024-03-23,,Darryl Leon,Permanent,Male,Single,Trainees,Hr,10.0,2024,2+ Years,Company Sponsored,2.12,33.0,30-34,2yr,0
On-Board,,196163.0,Ahmed Moussa,2024-03-23,,Geneva Hardy,Permanent,Male,Single,Professional,Hr,6.8,2024,2+ Years,Company Sponsored,2.12,29.8,25-29,2yr,0
On-Board,,143527.0,Zeynep Yilmaz,2024-03-23,,Roberta Moyer,Permanent,Male,Married,Management,Marketing,7.0,2024,2+ Years,Company Sponsored,2.12,30.0,30-34,2yr,0
On-Board,,121781.0,Emre Demir,2024-03-23,,Roberta Moyer,Permanent,Male,Single,Management,Marketing,13.0,2024,2+ Years,Company Sponsored,2.12,36.0,35-39,2yr,0
On-Board,Onroll,190716.0,Selin Kaya,2024-04-03,,Darryl Leon,Permanent,Female,Married,Professional,Marketing,4.0,2024,2+ Years,Company Sponsored,2.09,27.0,25-29,2yr,0
On-Board,,131453.0,Deniz Arslan,2024-04-03,,Janelle Wiley,Permanent,Male,Single,Professional,Operations,8.0,2024,2+ Years,Company Sponsored,2.09,31.0,30-34,2yr,0
On-Board,,133611.0,Art Kim,2024-04-19,,Janelle Wiley,Permanent,Female,Single,Professional,Sales,0.0,2024,1+ Years,Company Sponsored,2.05,23.0,<25,2yr,0
On-Board,,158773.0,Grover Kramer,2024-05-15,,Darryl Leon,Permanent,Male,Single,Professional,Marketing,3.0,2024,1+ Years,Family Sponsored,1.98,26.0,25-29,1yr,0
On-Board,,109333.0,Milan Pope,2024-05-22,,Ryan Simmons,Permanent,Male,Married,Trainees,Legal,10.0,2024,1+ Years,Company Sponsored,1.96,33.0,30-34,1yr,0
On-Board,,165233.0,Randal Mata,2024-06-12,,Ryan Simmons,Permanent,Male,Single,Professional,Marketing,1.2,2024,1+ Years,Family Sponsored,1.9,24.2,<25,1yr,0
On-Board,Onroll,103360.0,Pete Arroyo,2024-10-04,,Ryan Simmons,Permanent,Female,Single,Professional,Hr,0.11,2024,1+ Years,Company Sponsored,1.59,23.1,<25,1yr,0
On-Board,,168841.0,Jefferson Perry,2024-10-04,,Ryan Simmons,Permanent,Male,Married,Management,Sales,19.0,2024,1+ Years,Family Sponsored,1.59,42.0,40-49,1yr,0
Attrition,,123680.0,Luna Sanders,2025-01-01,,Jefferson Perry,Permanent,Female,Single,Professional,Operations,0.0,2025,1+ Years,Company Sponsored,1.35,23.0,<25,1yr,1
On-Board,,136555.0,Santos Mooney,2025-01-05,,Jefferson Perry,Permanent,Male,Married,Management,Accounting,5.0,2025,1+ Years,Company Sponsored,1.34,28.0,25-29,1yr,0
On-Board,,109886.0,Theodore Dinh,2025-01-07,,Jefferson Perry,Permanent,Female,Married,Management,Operations,14.0,2025,1+ Years,Company Sponsored,1.33,37.0,35-39,1yr,0
On-Board,,135596.0,Austin Vo,2025-01-14,,Darryl Leon,Permanent,Male,Single,Trainees,Operations,0.0,2025,1+ Years,Family Sponsored,1.31,23.0,<25,1yr,0
On-Board,,102045.0,Jermaine Benitez,2025-03-04,,Ryan Simmons,Permanent,Female,Single,Management,Accounting,17.0,2025,1+ Years,Company Sponsored,1.18,40.0,40-49,1yr,0
On-Board,,137966.0,Joshua Gupta,2025-07-14,,Ryan Simmons,Permanent,Male,Married,Trainees,Operations,9.0,2025,<1 Year,Family Sponsored,0.82,32.0,30-34,<1yr,0
On-Board,,146341.0,Omar Hassan,2025-07-19,,Ryan Simmons,Permanent,Female,Married,Trainees,Operations,13.0,2025,<1 Year,Company Sponsored,0.8,36.0,35-39,<1yr,0
